codiabs,nom,casos des de l'1 juny,casos ultims 14 dies,homes(des de juny),dones(des de juny),poblacio,casos/100000 total,casos/100000 ultims 14 dies,
199,Salt,1014.00,254.00,483.00,531.00,43416.00,2335.50,585.00,
145,Manresa-1,213.00,23.00,113.00,100.00,22195.00,959.70,103.60,
148,Manresa-4,238.00,40.00,100.00,138.00,22738.00,1046.70,175.90,
250,Terrassa-D,518.00,115.00,243.00,275.00,33123.00,1563.90,347.20,
356,Terrassa-G,404.00,85.00,198.00,206.00,25320.00,1595.60,335.70,
189,Roses,179.00,29.00,98.00,81.00,33008.00,542.30,87.90,
345,Sabadell-4B,242.00,46.00,113.00,129.00,24233.00,998.60,189.80,
248,Terrassa-B,508.00,174.00,228.00,280.00,27907.00,1820.30,623.50,
271,Vilassar de Mar,188.00,14.00,92.00,96.00,25293.00,743.30,55.40,
186,Premià de Mar,277.00,32.00,146.00,131.00,38498.00,719.50,83.10,
296,L'Hospitalet de Llobregat-9,1303.00,113.00,580.00,723.00,29909.00,4356.50,377.80,
191,Sabadell-1B,269.00,27.00,122.00,147.00,21175.00,1270.40,127.50,
225,Santa Coloma de Gramanet-4,445.00,63.00,213.00,232.00,22719.00,1958.70,277.30,
240,Tarragona-2,317.00,56.00,165.00,152.00,28271.00,1121.30,198.10,
257,Torredembarra,257.00,82.00,121.00,136.00,36531.00,703.50,224.50,
242,Tarragona-4,87.00,16.00,36.00,51.00,16379.00,531.20,97.70,
166,El Morell,95.00,10.00,44.00,51.00,12182.00,779.80,82.10,
322,Ciutat Badia,152.00,26.00,71.00,81.00,13873.00,1095.70,187.40,
155,Mataró-4,202.00,19.00,97.00,105.00,22345.00,904.00,85.00,
107,Constantí,102.00,6.00,45.00,57.00,6771.00,1506.40,88.60,
352,Vic-2,113.00,19.00,59.00,54.00,11819.00,956.10,160.80,
288,L'Hospitalet de Llobregat-1,427.00,67.00,201.00,226.00,29344.00,1455.20,228.30,
152,Mataró-1,172.00,25.00,78.00,94.00,19271.00,892.50,129.70,
116,Esplugues de Llobregat-1,560.00,69.00,261.00,299.00,18458.00,3033.90,373.80,
109,Cornellà de Llobregat-2,730.00,42.00,314.00,416.00,26297.00,2776.00,159.70,
25,Barcelona-2E,394.00,65.00,187.00,207.00,33123.00,1189.50,196.20,
97,Castellar del Vallès,189.00,54.00,91.00,98.00,26231.00,720.50,205.90,
192,Sabadell-2,304.00,69.00,162.00,142.00,24621.00,1234.70,280.20,
100,Cassà de la Selva,200.00,28.00,104.00,96.00,32757.00,610.60,85.50,
84,La Bisbal d'Empordà,61.00,5.00,28.00,33.00,16840.00,362.20,29.70,
299,L'Hospitalet de Llobregat-12,440.00,44.00,209.00,231.00,25501.00,1725.40,172.50,
290,L'Hospitalet de Llobregat-3,932.00,69.00,444.00,488.00,25829.00,3608.30,267.10,
205,Sant Boi de Llobregat-4,279.00,22.00,130.00,149.00,20966.00,1330.70,104.90,
39,Barcelona-4A,326.00,61.00,147.00,179.00,28323.00,1151.00,215.40,
280,Badalona-9,257.00,30.00,129.00,128.00,18458.00,1392.40,162.50,
368,Corbera de Llobregat,554.00,61.00,275.00,279.00,20817.00,2661.30,293.00,
1,Agramunt,81.00,13.00,42.00,39.00,6452.00,1255.40,201.50,
273,Badalona-2,160.00,23.00,75.00,85.00,16487.00,970.50,139.50,
204,Sant Boi de Llobregat-3,181.00,13.00,90.00,91.00,11319.00,1599.10,114.90,
70,Barcelona-9F,387.00,30.00,196.00,191.00,10738.00,3604.00,279.40,
27,Barcelona-2G,214.00,35.00,112.00,102.00,21585.00,991.40,162.10,
272,Badalona-1,197.00,18.00,83.00,114.00,12134.00,1623.50,148.30,
223,Santa Coloma de Gramanet-2,361.00,29.00,177.00,184.00,15285.00,2361.80,189.70,
21,Barcelona-2A,584.00,75.00,295.00,289.00,33840.00,1725.80,221.60,
239,Tarragona-1,109.00,26.00,49.00,60.00,14959.00,728.70,173.80,
364,Tarragona 8,71.00,12.00,32.00,39.00,15637.00,454.10,76.70,
311,Sant Adrià de Besòs-1,266.00,68.00,131.00,135.00,20977.00,1268.10,324.20,
24,Barcelona-2D,362.00,30.00,207.00,155.00,19318.00,1873.90,155.30,
18,Barcelona-1C,263.00,32.00,147.00,116.00,14907.00,1764.30,214.70,
316,Vilanova i la Geltrú-1,158.00,23.00,73.00,85.00,24223.00,652.30,95.00,
135,Lleida 1 (Centre Històric-Rambla de Ferran),798.00,19.00,363.00,435.00,17856.00,4469.10,106.40,
303,Reus-1,202.00,26.00,105.00,97.00,13596.00,1485.70,191.20,
244,Tarragona-6,138.00,36.00,62.00,76.00,19992.00,690.30,180.10,
279,Badalona-8,165.00,33.00,79.00,86.00,14867.00,1109.80,222.00,
342,Badalona-7B,469.00,67.00,235.00,234.00,19937.00,2352.40,336.10,
110,Cornellà de Llobregat-3,268.00,19.00,123.00,145.00,13402.00,1999.70,141.80,
22,Barcelona-2B,538.00,50.00,259.00,279.00,30104.00,1787.10,166.10,
243,Tarragona-5,86.00,13.00,42.00,44.00,16617.00,517.50,78.20,
281,Badalona-10,78.00,14.00,40.00,38.00,9976.00,781.90,140.30,
295,L'Hospitalet de Llobregat-8,1006.00,114.00,464.00,542.00,23342.00,4309.80,488.40,
293,L'Hospitalet de Llobregat-6,462.00,58.00,216.00,246.00,23682.00,1950.80,244.90,
289,L'Hospitalet de Llobregat-2,437.00,46.00,205.00,232.00,23044.00,1896.40,199.60,
291,L'Hospitalet de Llobregat-4,1065.00,79.00,488.00,577.00,27524.00,3869.40,287.00,
193,Sabadell-3A,417.00,76.00,202.00,215.00,19885.00,2097.10,382.20,
222,Santa Coloma de Gramanet-1,473.00,51.00,215.00,258.00,22311.00,2120.00,228.60,
42,Barcelona-5A,375.00,52.00,159.00,216.00,28337.00,1323.40,183.50,
190,Sabadell-1A,326.00,58.00,129.00,197.00,34054.00,957.30,170.30,
247,Terrassa-A,605.00,126.00,298.00,307.00,41754.00,1449.00,301.80,
33,Barcelona-3B,603.00,68.00,296.00,307.00,24899.00,2421.80,273.10,
35,Barcelona-3D,613.00,57.00,286.00,327.00,31489.00,1946.70,181.00,
17,Barcelona-1B,300.00,40.00,160.00,140.00,22209.00,1350.80,180.10,
28,Barcelona-2H,335.00,20.00,146.00,189.00,26061.00,1285.40,76.70,
20,Barcelona-1E,603.00,108.00,362.00,241.00,21713.00,2777.10,497.40,
48,Barcelona-6B,274.00,28.00,125.00,149.00,26338.00,1040.30,106.30,
47,Barcelona-6A,417.00,50.00,209.00,208.00,30428.00,1370.40,164.30,
30,Barcelona-2J,369.00,46.00,186.00,183.00,27365.00,1348.40,168.10,
29,Barcelona-2I,283.00,46.00,122.00,161.00,20727.00,1365.40,221.90,
31,Barcelona-2K,391.00,44.00,176.00,215.00,25670.00,1523.20,171.40,
75,Barcelona-10E,208.00,21.00,99.00,109.00,17281.00,1203.60,121.50,
76,Barcelona-10F,330.00,26.00,158.00,172.00,24358.00,1354.80,106.70,
52,Barcelona-7B,153.00,27.00,60.00,93.00,19314.00,792.20,139.80,
326,Barcelona-7G,449.00,41.00,214.00,235.00,32584.00,1378.00,125.80,
400,Barcelona 3I,569.00,45.00,267.00,302.00,25930.00,2194.40,173.50,
40,Barcelona-4B,228.00,24.00,103.00,125.00,21664.00,1052.40,110.80,
44,Barcelona-5C,239.00,46.00,108.00,131.00,27068.00,883.00,169.90,
327,Barcelona-8I,329.00,56.00,162.00,167.00,18368.00,1791.20,304.90,
46,Barcelona-5E,248.00,48.00,115.00,133.00,34022.00,728.90,141.10,
53,Barcelona-7C,283.00,39.00,114.00,169.00,19730.00,1434.40,197.70,
50,Barcelona-6D,185.00,28.00,85.00,100.00,21658.00,854.20,129.30,
358,Barcelona-6E,181.00,29.00,85.00,96.00,23409.00,773.20,123.90,
51,Barcelona-7A,335.00,29.00,163.00,172.00,21769.00,1538.90,133.20,
54,Barcelona-7D,384.00,38.00,167.00,217.00,28160.00,1363.60,134.90,
62,Barcelona-8F,357.00,34.00,170.00,187.00,25652.00,1391.70,132.50,
56,Barcelona-7F,263.00,25.00,116.00,147.00,20549.00,1279.90,121.70,
385,Barcelona 8J,393.00,56.00,195.00,198.00,25175.00,1561.10,222.40,
67,Barcelona-9C,570.00,75.00,270.00,300.00,34931.00,1631.80,214.70,
395,Barcelona 9H,302.00,36.00,138.00,164.00,31024.00,973.40,116.00,
65,Barcelona-9A,617.00,46.00,307.00,310.00,34455.00,1790.70,133.50,
78,Barcelona-10H,252.00,20.00,123.00,129.00,20091.00,1254.30,99.50,
77,Barcelona-10G,335.00,30.00,176.00,159.00,24210.00,1383.70,123.90,
73,Barcelona-10C,307.00,40.00,153.00,154.00,23408.00,1311.50,170.90,
277,Badalona-6,467.00,80.00,228.00,239.00,24300.00,1921.80,329.20,
276,Badalona-5,527.00,110.00,278.00,249.00,19102.00,2758.90,575.90,
388,Sant Cugat del Vallès 1,314.00,90.00,143.00,171.00,30923.00,1015.40,291.00,
36,Barcelona-3E,451.00,52.00,224.00,227.00,21444.00,2103.20,242.50,
398,Vilafranca del Penedès 2,202.00,12.00,78.00,124.00,21643.00,933.30,55.40,
137,Lleida 3 (Eixample),720.00,28.00,312.00,408.00,21214.00,3394.00,132.00,
139,Lleida 5 (Cappont),396.00,34.00,184.00,212.00,15941.00,2484.20,213.30,
365,Pallejà,426.00,51.00,195.00,231.00,37250.00,1143.60,136.90,
397,Vilafranca del Penedès 1,217.00,10.00,91.00,126.00,19932.00,1088.70,50.20,
198,Sabadell-7,119.00,20.00,57.00,62.00,9121.00,1304.70,219.30,
384,Montcada i Reixac 2,254.00,30.00,127.00,127.00,13539.00,1876.10,221.60,
386,Ripollet 1,232.00,36.00,118.00,114.00,17943.00,1293.00,200.60,
196,Sabadell-5,238.00,38.00,136.00,102.00,19827.00,1200.40,191.70,
344,Sabadell-4A,248.00,56.00,112.00,136.00,15001.00,1653.20,373.30,
7,Aran,111.00,30.00,52.00,59.00,9268.00,1197.70,323.70,
180,Alta Ribagorça,24.00,#N/D,14.00,10.00,3452.00,695.20,#N/D,
259,Tremp,44.00,5.00,15.00,29.00,8062.00,545.80,62.00,
174,Pallars Sobirà,36.00,5.00,24.00,12.00,5879.00,612.30,85.00,
179,La Pobla de Segur,35.00,2.00,13.00,22.00,4236.00,826.30,47.20,
233,La Seu d'Urgell,170.00,21.00,84.00,86.00,16222.00,1048.00,129.50,
103,Cerdanya,366.00,71.00,177.00,189.00,16345.00,2239.20,434.40,
343,Ribes de Freser-Campdevànol,9.00,3.00,1.00,8.00,5719.00,157.40,52.50,
260,Ulldecona,32.00,10.00,14.00,18.00,11891.00,269.10,84.10,
92,Camprodon,17.00,#N/D,10.00,7.00,4004.00,424.60,#N/D,
83,Besalú,36.00,11.00,15.00,21.00,6201.00,580.60,177.40,
307,Reus-5,380.00,70.00,195.00,185.00,27816.00,1366.10,251.70,
304,Reus-2,366.00,63.00,168.00,198.00,26991.00,1356.00,233.40,
231,Sarrià de Ter,152.00,18.00,65.00,87.00,13920.00,1092.00,129.30,
80,Bàscara,87.00,15.00,35.00,52.00,4596.00,1893.00,326.40,
187,Ripoll-Sant Joan de les Abadesses,167.00,22.00,91.00,76.00,14495.00,1152.10,151.80,
346,Sant Joan les Fonts,41.00,8.00,17.00,24.00,5191.00,789.80,154.10,
171,Olot,386.00,63.00,191.00,195.00,39591.00,975.00,159.10,
15,Banyoles,290.00,98.00,134.00,156.00,32397.00,895.10,302.50,
173,Palamós,161.00,33.00,71.00,90.00,28960.00,555.90,114.00,
142,Lloret de Mar,193.00,41.00,97.00,96.00,40253.00,479.50,101.90,
85,Blanes,342.00,52.00,170.00,172.00,39161.00,873.30,132.80,
283,Badalona-12,109.00,23.00,53.00,56.00,11596.00,940.00,198.30,
317,Vilanova i la Geltrú-2,127.00,17.00,54.00,73.00,24010.00,528.90,70.80,
266,Viladecans-2,339.00,46.00,156.00,183.00,22541.00,1503.90,204.10,
147,Manresa-3,165.00,26.00,69.00,96.00,14720.00,1120.90,176.60,
146,Manresa-2,240.00,42.00,110.00,130.00,23300.00,1030.00,180.30,
59,Barcelona-8C,630.00,66.00,293.00,337.00,24581.00,2563.00,268.50,
371,Igualada 1,257.00,29.00,115.00,142.00,20690.00,1242.10,140.20,
372,Igualada 2,171.00,37.00,82.00,89.00,20532.00,832.80,180.20,
126,Girona-3,454.00,79.00,208.00,246.00,35901.00,1264.60,220.00,
391,Palau-solità i Plegamans,139.00,16.00,68.00,71.00,15071.00,922.30,106.20,
175,Parets del Vallès,222.00,26.00,104.00,118.00,18846.00,1178.00,138.00,
348,Mollet del Vallès-1 Est,403.00,42.00,174.00,229.00,28691.00,1404.60,146.40,
287,Granollers-4 Sud,394.00,57.00,198.00,196.00,16437.00,2397.00,346.80,
284,Granollers-1 Oest,663.00,89.00,335.00,328.00,23226.00,2854.60,383.20,
285,Granollers-2 Nord,610.00,91.00,284.00,326.00,30472.00,2001.80,298.60,
95,Cardedeu,188.00,44.00,83.00,105.00,21554.00,872.20,204.10,
315,Vall de Tenes,372.00,90.00,180.00,192.00,36908.00,1007.90,243.80,
89,Caldes de Montbui,177.00,23.00,76.00,101.00,23787.00,744.10,96.70,
350,Tarragona-7,468.00,129.00,203.00,265.00,27389.00,1708.70,471.00,
351,Vic-1,543.00,120.00,275.00,268.00,25733.00,2110.10,466.30,
159,Moià,86.00,18.00,47.00,39.00,10163.00,846.20,177.10,
121,La Garriga,292.00,39.00,150.00,142.00,29200.00,1000.00,133.60,
102,Centelles,77.00,18.00,42.00,35.00,12389.00,621.50,145.30,
253,Tona,118.00,15.00,53.00,65.00,12383.00,952.90,121.10,
238,Santa Eugènia de Berga,253.00,71.00,119.00,134.00,17969.00,1408.00,395.10,
219,Sant Vicenç de Castellet,119.00,13.00,55.00,64.00,15374.00,774.00,84.60,
41,Barcelona-4C,330.00,36.00,149.00,181.00,30826.00,1070.50,116.80,
117,Esplugues de Llobregat-2,346.00,32.00,169.00,177.00,28873.00,1198.40,110.80,
209,Sant Feliu de Llobregat-1,277.00,29.00,134.00,143.00,18321.00,1511.90,158.30,
203,Sant Boi de Llobregat-2,378.00,47.00,168.00,210.00,21901.00,1725.90,214.60,
2,Alcarràs,1012.00,7.00,405.00,607.00,14052.00,7201.80,49.80,
232,Seròs,327.00,6.00,133.00,194.00,6800.00,4808.80,88.20,
387,Ripollet 2,152.00,23.00,81.00,71.00,15064.00,1009.00,152.70,
224,Santa Coloma de Gramanet-3,328.00,59.00,156.00,172.00,19500.00,1682.10,302.60,
182,El Prat de Llobregat-1,217.00,21.00,105.00,112.00,21657.00,1002.00,97.00,
108,Cornellà de Llobregat-1,470.00,45.00,213.00,257.00,32934.00,1427.10,136.60,
213,Sant Joan Despí-1,196.00,31.00,108.00,88.00,20318.00,964.70,152.60,
64,Barcelona-8H,360.00,23.00,180.00,180.00,15847.00,2271.70,145.10,
249,Terrassa-C,153.00,30.00,69.00,84.00,10947.00,1397.60,274.00,
396,Barcelona 9I,320.00,24.00,145.00,175.00,24833.00,1288.60,96.60,
114,L'Escala,86.00,19.00,51.00,35.00,15668.00,548.90,121.30,
208,Sant Feliu de Guíxols,436.00,50.00,232.00,204.00,35945.00,1213.00,139.10,
207,Sant Celoni,257.00,46.00,122.00,135.00,35630.00,721.30,129.10,
376,Roda de Ter,221.00,21.00,112.00,109.00,20821.00,1061.40,100.90,
336,Tordera,101.00,23.00,50.00,51.00,17801.00,567.40,129.20,
93,Canet de Mar,241.00,55.00,106.00,135.00,23294.00,1034.60,236.10,
90,Calella,146.00,17.00,68.00,78.00,19056.00,766.20,89.20,
9,Arenys de Mar,197.00,27.00,109.00,88.00,24380.00,808.00,110.70,
335,Sant Andreu de Llavaneres,174.00,30.00,90.00,84.00,18868.00,922.20,159.00,
153,Mataró-2,162.00,38.00,78.00,84.00,17597.00,920.60,215.90,
309,Rubí-1 Nord,347.00,69.00,167.00,180.00,31854.00,1089.30,216.60,
